,社会融资规模:当月值,,,社会融资规模
,M5206730,,,M5201607
日期,EDBclose,,日期,EDBclose
Date,EDBclose,,Date,EDBclose
2008-01-31,10859,,2008-12-31,69802
2008-02-29,4731,,2009-12-31,139104
2008-03-31,6391,,2010-12-31,140191
2008-04-30,7076,,2011-12-31,128286
2008-05-31,5678,,2012-12-31,157630.8093
2008-06-30,5976,,2013-12-31,173169
2008-07-31,4890,,2014-12-31,164571
2008-08-31,4575,,2015-12-31,154086
2008-09-30,5659,,2016-12-31,178022
2008-10-31,1288,,2017-12-31,261535.84
2008-11-30,4517,,2018-12-31,224920.2
2008-12-31,8164,,2019-12-31,255753
2009-01-31,13990,,,
2009-02-28,11131,,,
2009-03-31,22011,,,
2009-04-30,5452,,,
2009-05-31,14959,,,
2009-06-30,21067,,,
2009-07-31,7388,,,
2009-08-31,7650,,,
2009-09-30,11871,,,
2009-10-31,5985,,,
2009-11-30,9501,,,
2009-12-31,8100,,,
2010-01-31,20550,,,
2010-02-28,10877,,,
2010-03-31,13830,,,
2010-04-30,14919,,,
2010-05-31,10805,,,
2010-06-30,10196,,,
2010-07-31,7202,,,
2010-08-31,10646,,,
2010-09-30,11224,,,
2010-10-31,8608,,,
2010-11-30,10554,,,
2010-12-31,10780,,,
2011-01-31,17560,,,
2011-02-28,6468,,,
2011-03-31,18212,,,
2011-04-30,13673,,,
2011-05-31,10854,,,
2011-06-30,10873,,,
2011-07-31,5393,,,
2011-08-31,10741,,,
2011-09-30,4279,,,
2011-10-31,7908,,,
2011-11-30,9581,,,
2011-12-31,12744,,,
2012-01-31,9754,,,
2012-02-29,10431,,,
2012-03-31,18704,,,
2012-04-30,9637,,,
2012-05-31,11432,,,
2012-06-30,17802,,,
2012-07-31,10522,,,
2012-08-31,12475,,,
2012-09-30,16462,,,
2012-10-31,12906,,,
2012-11-30,11225,,,
2012-12-31,16282,,,
2013-01-31,25446,,,
2013-02-28,10705,,,
2013-03-31,25503,,,
2013-04-30,17629,,,
2013-05-31,11871,,,
2013-06-30,10375,,,
2013-07-31,8191,,,
2013-08-31,15841,,,
2013-09-30,14120,,,
2013-10-31,8645,,,
2013-11-30,12310,,,
2013-12-31,12532,,,
2014-01-31,26004,,,
2014-02-28,9370,,,
2014-03-31,20934,,,
2014-04-30,15259,,,
2014-05-31,14013,,,
2014-06-30,19673,,,
2014-07-31,2737,,,
2014-08-31,9577,,,
2014-09-30,11355,,,
2014-10-31,6807,,,
2014-11-30,11459,,,
2014-12-31,16945,,,
2015-01-31,20516,,,
2015-02-28,13609,,,
2015-03-31,12433,,,
2015-04-30,10582,,,
2015-05-31,12397,,,
2015-06-30,18384,,,
2015-07-31,7511,,,
2015-08-31,11097,,,
2015-09-30,13571,,,
2015-10-31,5593,,,
2015-11-30,10255,,,
2015-12-31,18114,,,
2016-01-31,34758,,,
2016-02-29,8312,,,
2016-03-31,23931,,,
2016-04-30,7809,,,
2016-05-31,6770,,,
2016-06-30,16479,,,
2016-07-31,4791,,,
2016-08-31,14605,,,
2016-09-30,17115,,,
2016-10-31,8865,,,
2016-11-30,18328,,,
2016-12-31,16260,,,
2017-01-31,37720.07698,,,
2017-02-28,11055.32211,,,
2017-03-31,25471.63956,,,
2017-04-30,19558.92377,,,
2017-05-31,17811.73294,,,
2017-06-30,25885.91095,,,
2017-07-31,21188.10657,,,
2017-08-31,20485.50771,,,
2017-09-30,25438.60694,,,
2017-10-31,15861.15144,,,
2017-11-30,22955.98125,,,
2017-12-31,18102.88255,,,
2018-01-31,31417.22055,,,
2018-02-28,12064.38793,,,
2018-03-31,17091.4767,,,
2018-04-30,22242.94055,,,
2018-05-31,11233.62445,,,
2018-06-30,20372.96461,,,
2018-07-31,18381.94196,,,
2018-08-31,24078.24889,,,
2018-09-30,23061.25012,,,
2018-10-31,9537.802987,,,
2018-11-30,16127.16526,,,
2018-12-31,19311.17408,,,
2019-01-31,46791.13927,,,
2019-02-28,9665.126685,,,
2019-03-31,29602.33653,,,
2019-04-30,16709.53817,,,
2019-05-31,17123.72928,,,
2019-06-30,26243.30201,,,
2019-07-31,12872.11027,,,
2019-08-31,21955.76501,,,
2019-09-30,25142.21046,,,
2019-10-31,8680.002122,,,
2019-11-30,19936.91623,,,
2019-12-31,21030.28486,,,
2020-01-31,50518,,,
2020-02-29,8737,,,
2020-03-31,51830,,,
2020-04-30,31042,,,
2020-05-31,31907,,,